index	topic	tweets	date	username	likes	retweets	replies	hashtags	class
0	60 Korban Kerusuhan Meninggak	Tangan bapak @jokowi sdh berdarah, korban 600 org kpps, 60 org kerusuhan ,,maka dari itu saya perintahkan Bapak #JokowiMundurlah !!!	2019-05-23 06:28:57+00:00	bosedantea2	1	1	1	#JokowiMundurlah	Other 2
1	60 Korban Kerusuhan Meninggak	[Fakta atau Hoaks] Benarkah Ada 60 Korban Meninggal dalam Kerusuhan 21-22 Mei 2019? Cek Faktanya disini: http://bit.ly/2VRp0uh	2019-05-27 06:11:23+00:00	korantempo	1	1	0		False News
2	60 Korban Kerusuhan Meninggak	Ini juga hoax. Beredar di medsos, bhw korban meninggal dunia dalam kerusuhan tgl 22 Mei 2019 adalah 60 orang. Itu sudah dibantah oleh polisi maupun pemprov DKI. 👇👇 https://cekfakta.tempo.co/fakta/295/fakta-atau-hoaks-benarkah-ada-60-korban-meninggal-dalam-kerusuhan-21-22-mei-2019	2019-05-24 12:00:33+00:00	Kars104	1	1	0		Other 2
3	60 Korban Kerusuhan Meninggak	RS Polri Tangani 60 Korban Kerusuhan 21-22 Mei, 29 Orang Diantaranya Anggota Polri http://wartakota.tribunnews.com/2019/05/27/rs-polri-tangani-60-korban-kerusuhan-21-22-mei-29-orang-diantaranya-anggota-polri lewat @wartakotalive	2019-05-27 13:13:56+00:00	joswito	0	0	0		True News
4	60 Korban Kerusuhan Meninggak	Presiden Joko Widodo, Jumat (24/5/2019) sore, menerima dua pedagang kelontong yang menjadi korban kerusuhan massa, Rabu (22/5/2019) lalu. Dua pedagang itu bernama Abdul Rajab (60) dan… https://www.instagram.com/p/Bx2w1hlhy8ETgOIViiynW2OXkBq57OG33KXgLg0/?igshid=mr2qvikbsgkt	2019-05-24 18:40:21+00:00	angellian	0	0	0		False News
5	Abu Bakar Ba'asyir Golput Pemilu	TPS Pemilu 2019 juga digelar di Lapas Gunungsindur, Bogor. Terpidana kasus terorisme Abu Bakar Ba'asyir memilih golput. melalui Abu Bakar Ba'asyir Golput — news.detik https://mediaaipos.wordpress.com/2019/04/17/abu-bakar-baasyir-golput-news-detik/ https://mediaaipos.wordpress.com/2019/04/17/abu-bakar-baasyir-golput-news-detik/	2019-04-17 04:32:58+00:00	antar_kabar	0	0	0		True News
6	Abu Bakar Ba'asyir Golput Pemilu	https://news.detik.com/berita/d-4513913/abu-bakar-baasyir-golput TPS Pemilu 2019 juga digelar di Lapas Gunungsindur, Bogor. Terpidana kasus terorisme Abu Bakar Ba'asyir memilih golput.	2019-04-17 04:13:34+00:00	LoVeMaTa	0	0	0		True News
7	Abu Bakar Ba'asyir Golput Pemilu	@null Abu Bakar Ba'asyir Golput TPS Pemilu 2019 juga digelar di Lapas Gunungsindur, Bo https://news.detik.com/read/2019/04/17/103022/4513913/10/abu-bakar-baasyir-golput	2019-04-17 03:40:12+00:00	galxxs	0	0	0		True News
8	Abu Bakar Ba'asyir Golput Pemilu	Abu Bakar Ba'asyir Pilih Golput di Pemilu 2019 https://terasjakarta.id/plugin/article/view/11528/abu-bakar-ba-asyir-pilih-golput-di-pemilu-2019	2019-04-16 18:34:29+00:00	linkkkokkk	0	0	0		True News
9	Abu Bakar Ba'asyir Golput Pemilu	Abu Bakar Ba'asyir Golput di Pemilu 2019 http://po.st/76J8D3	2019-04-16 15:50:56+00:00	knalpotbronx	0	0	0		True News
10	Abu Bakar Ba'asyir Golput Pemilu	Pemilu 2019, Abu Bakar Ba’asyir Pilih Golput » Suara Generasi http://bit.ly/2Pf7Bdl #suaragenerasi	2019-04-16 15:33:57+00:00	suaragenerasiID	0	0	0	#suaragenerasi	True News
11	Abu Bakar Ba'asyir Golput Pemilu	Pemilu 2019, Abu Bakar Ba’asyir Pilih Golput http://bit.ly/2GkSdrG	2019-04-16 14:07:57+00:00	Joglosemarnews	0	0	0		True News
12	Abu Bakar Ba'asyir Golput Pemilu	Ustaz Abu Bakar Ba'asyir Golput di Pemilu 2019? #cekfaktapemilu2019 https://cekfakta.com/focus/1825	2019-04-16 14:07:50+00:00	cekfaktacom	0	0	0	#cekfaktapemilu2019	True News
13	Ahok Mencoblos Di Osaka	"Jokowi, Prabowo woo Muslim voters; ex-Jakarta governor Ahok fights for his right to vote in Osaka – South China Morning Post https://osakainformer.com/74181/jokowi-prabowo-woo-muslim-voters-ex-jakarta-governor-ahok-fights-for-his-right-to-vote-in-osaka-south-china-morning-post/"	2019-04-17 14:02:32+00:00	osakainformer	1	1	0		True News
14	Ahok Mencoblos Di Osaka	Beberapa akun menambahkan narasi seperti ini: “Di Osaka jam 2 tiba2 ahok membawa 100 org china utk ikut nyoblos.” Narasi ini KELIRU. #cekfaktaPemilu2019 #tempocekfakta	2019-04-16 00:29:26+00:00	tempocekfakta	0	0	1	#cekfaktaPemilu2019 #tempocekfakta	True News
15	Ahok Mencoblos Di Osaka	"👆 Manusia inilah Sumber kegaduhan di negri ini. . Manusia yang tak beradap dan biang masalah. . . Di Osaka jam 2 tiba2 ahok membawa 100 org china utk ikut… https://www.instagram.com/p/BwQb3nEj_7iOpNW7JtaXEYPQfpIcwyR82VnOlU0/?utm_source=ig_twitter_share&amp;igshid=g9xcj0yxd33a"	2019-04-15 00:54:52+00:00	asephendriana18	0	0	0		Misleading News
16	Aksi 911 Bela Tauhid	*Ayo Para Singa ALLAH... Kita geruduk Kedutaan SAUDI yang telah mempermalukan Habib Rizieq* Lawan Aksi Intelejen... Kalo perlu Gebukin Fulisi Arab Perjuangan Harus Istiqamah.. 🏴🏳 #Aksi911 🏴🏳	2018-11-09 10:01:12+00:00	hapeproperti	0	0	0	#Aksi911	False News
17	Aksi 911 Bela Tauhid	[[ Politisi PDI Perjuangan Ini Klaim Pemerintah Lindungi Habib Rizieq di Arab Saudi https://goo.gl/fb/hNWQJH	2018-11-08 10:56:49+00:00	Konfrontasi_co	0	0	0		True News
18	Aksi Baduy Ke Jakarta	Video Suku Baduy Turun Gunung Ikut Aksi di Jakarta Adalah Hoax http://zonadamai.com/2019/05/23/video-suku-baduy-turun-gunung-ikut-aksi-di-jakarta-adalah-hoax/	2019-05-23 07:28:10+00:00	zonadamai	0	0	0		True News
19	Aksi Baduy Ke Jakarta	Warga Baduy Kecam Hoaks Ikut Aksi People Power ke Jakarta 	2019-05-21 08:20:46+00:00	22ku	0	0	0		Other 1
20	Aksi Baduy Ke Jakarta	Di bisnasakan saja para pembuat onar negeri ini!! Warga Baduy Cari Penyebar Hoaks Ikut Aksi People Power ke Jakarta 	2019-05-21 08:13:39+00:00	M17522147	0	0	0		Other 1
21	Aksi Baduy Ke Jakarta	Warga Baduy Kecam Hoaks Ikut Aksi People Power ke Jakarta | http://BantenNews.co.id https://www.bantennews.co.id/warga-baduy-kecam-hoaks-ikut-aksi-people-power-ke-jakarta/	2019-05-21 07:14:38+00:00	lel_ros	0	0	0		Other 1
22	Aksi Baduy Ke Jakarta	Kabar Ribuan Warga Baduy Bergerak ke Jakarta untuk Ikut Aksi 22 Mei Adalah Hoaks https://indopolitika.com/kabar-ribuan-warga-baduy-bergerak-ke-jakarta-untuk-ikut-aksi-22-mei-adalah-hoaks/	2019-05-21 04:13:09+00:00	Indopolitika	0	0	0		True News
23	Aksi Baduy Ke Jakarta	Kabar Ribuan Warga Baduy Bergerak ke Jakarta untuk Ikut Aksi 22 Mei Adalah Hoaks http://bit.ly/2EnjglZ via @Indopolitika	2019-05-21 04:12:57+00:00	Indopolitika	0	0	0		True News
24	Al Jazeera Kasus Rizieq	"Artikel terakhir di al jazeera yg ada ""rizieq shihab fpi"" tertanggal mei 2017. Jadi dari mana sampean dapet kabar? Hoax ya? Cc @DivHumas_Polri @GunRomli"	2018-11-10 07:02:42+00:00	abratadinata	1	0	0		True News
25	Alat Bantu Dengar Jokowi	Bakal selalu usaha mas.. Saling bantu.. Biar sampek ke dengar bapak @jokowi	2019-02-22 14:30:18+00:00	MJinggapurnama	1	1	1		Other 1
26	Alat Bantu Dengar Jokowi	Kya org tuli pake alat bantu dengar. #RakyatRinduPemimpinJujur #RakyatInginPrabowoPresiden	2019-02-21 09:46:55+00:00	msghozali	0	1	0	#RakyatRinduPemimpinJujur #RakyatInginPrabowoPresiden	True News
27	Alat Bantu Dengar Jokowi	Usai @jokowi Dicurigai Pakai Alat Bantu Dengar Saat Debat, Muncul Pembelaan Lewat #SavePulpen http://akurat.co/news/id-529165-read-usai-jokowi-dicurigai-pakai-alat-bantu-dengar-saat-debat-muncul-pembelaan-lewat-savepulpen	2019-02-18 12:30:39+00:00	akuratco	0	1	0	#SavePulpen	True News
28	Alat Bantu Dengar Jokowi	#memangbeda.. satu2 yg bahas tentang Jokowi memakai alat bantu dengar yaah cuman tv one ini. Talkshow sudah tidak bermutu. Substansi debat semalam kek yg di bahas. Ini hal2 yg memicu hoak yg di perbesar. Sadar lah sadar pak buk. Presenternya pun mau aja disuruh2..hiks.	2019-02-18 09:21:21+00:00	padriandika	1	0	1	#memangbeda	True News
29	Alat Bantu Dengar Jokowi	"Saya dengar"" setiap tahun ada kenaikan upah untuk tenaga kerja dalam setiap perusahaan,jadi saya mohon PADA pemerintah terkhusus PADA bapak presiden pemimpin kami yang kami cintai @jokowi kami memohon dengan hormat bantu kami untuk masalah kami ini,trima kasih,dua priode,aamiin,"	2019-02-20 16:14:45+00:00	Iwanbierocketm1	1	0	0		False News
30	Alat Bantu Dengar Jokowi	Sepertinya ada sesuatu yg tertanam di lubang telinga Jokowi, apakah itu bukan alat bantu dengar jarak jauh? PDIP: Jokowi Pencet Kuping saat Debat karena Berpikir Keras #JokowiBohongLagi https://www.gelora.co/2019/02/pdip-jokowi-pencet-kuping-saat-debat.html	2019-02-18 15:13:26+00:00	AbdulAzizlatte	1	0	0	#JokowiBohongLagi	True News
31	Alat Bantu Dengar Jokowi	Maaf pak Mus, mungkin akibat berkuasa selama hampir 5 tahun ini, pak Jokowi mulai berkurang pendengarannya, sehingga perlu menggunakan Alat Bantu Dengar. Jangan2 sudah terdaftar sebagai pelanggan PT ABDI 😊	2019-02-18 01:01:06+00:00	PutraMerdeka9	1	0	0		Other 1
32	Alat Bantu Dengar Jokowi	Ini hasilnya. 🤣🤣🤣 Kampret lsg menyebarkan hoax baru pulpen dan alat bantu dengar canggih ala james bond 🤣🤣🤣 🤣🤣🤣 🤣🤣🤣 	2019-02-23 01:38:26+00:00	don_rahmad	0	0	1		True News
33	Alat Bantu Dengar Jokowi	Betul sx mas hny bisa jual ke bohongan dan alat bantu dengar	2019-02-19 06:12:03+00:00	RemboSegoro	0	0	1		Other 1
34	Alat Bantu Dengar Jokowi	O,itu biasa terjadi di kota2x besar,lupa bawa tsk atau lupa oasang alat bantu dengar di telinga mungkin,hal yg biasa itu,toh jokowi juga manusiakan	2019-02-22 15:29:40+00:00	AgamBiru	0	0	0		Other 1
35	Alat Bantu Dengar Jokowi	Lbh baikjagoanmu ente tantang ngaji ..dan anda perlu pake alat bantu dengar biar gak berburuk sangka pada orang lain ..berbaik sangka itu baik ..dari pada makan ocehan tak bermakna ..alat bantu dengar ...caile ..sekelas anda percaya itu ?.	2019-02-22 08:17:57+00:00	Noveriani5	0	0	0		Other 1
36	Alat Bantu Dengar Jokowi	Bisa ya? - Pak Jkw kalau bapak saya tantang ngaji, kira2 punya keberanian gak?. Kalau dah lolos, baru kemudian saya tantang jadi imam. Blh deh bawa alat bantu dengar. Saya gak usah pakai. Gimana Pak? Saya tunggu 1 pekan ke depan jwbnnya. Makasih.	2019-02-21 22:49:12+00:00	irwank2k2	0	0	0		False News
37	Alat Bantu Dengar Jokowi	Yg butuh alat bantu dengar itu gus nur mustolol	2019-02-21 09:54:08+00:00	juonru	0	0	0		False News
38	Alat Bantu Dengar Jokowi	Anda sehat? Alat bantu dengar? Pikiran Anda waraskah? Emang Anda bisa ngaji? Eh...klo suka ngaji emang berhak menjelek2an presiden? Boleh percaya dan bikin fitnah?	2019-02-21 07:23:26+00:00	Yoedizz	0	0	0		Other 1
39	Alat Bantu Dengar Jokowi	Lagian jokowi ngk mau pake earpiece (alat bantu dengar ) seperti pada waktu debat itu sih, jadinya aja salah kan 😅😂	2019-02-21 04:38:11+00:00	deddy_irawan87	0	0	0		Misleading News
