Source	Target	Weight	Date	Class
sandiwarauno	savepulpen	1	2019-02-18	Misleading News
savepulpen	setelahdebatsemalam	1	2019-02-18	False News
cekfakta	tempocekfakta	6	2019-05-15	True News
cekfakta	tempocekfakta	1	2019-05-21	False News
cekfakta	periksafakta	4	2019-05-15	True News
cekfakta	periksafakta	1	2019-05-21	False News
cekfakta	kamibersamacekfakta	4	2019-05-15	True News
cekfakta	kamibersamacekfakta	1	2019-05-21	False News
cekfakta	kbrprime	1	2019-02-08	False News
cekfakta	pilpres2019	1	2019-02-08	False News
cekfakta	pilpres2019	1	2019-04-13	True News
cekfakta	debatpilpres2019	3	2019-04-13	True News
cekfakta	debatpilpresmdk	1	2019-04-13	True News
cekfakta	debatcapres2019	1	2019-04-13	True News
cekfakta	voteforindonesia	1	2019-04-13	True News
cekfakta	millennialsmemilih	1	2019-04-13	True News
cekfakta	akuseruji	1	2019-04-13	True News
cekfakta	debatcapres	1	2019-04-13	True News
cekfakta	destinasiwisatahalalterbaikdunia	1	2019-04-13	True News
cekfakta	debatkeduapilpres2019	1	2019-02-17	False News
cekfakta	cekdata	1	2019-02-17	False News
cekfakta	kpu	1	2019-05-22	True News
cekfakta	plenokpu	1	2019-05-22	True News
cekfakta	cekfaktapilpres2019	2	2019-04-27	True News
tempocekfakta	periksafakta	4	2019-05-15	True News
tempocekfakta	periksafakta	1	2019-05-21	False News
tempocekfakta	kamibersamacekfakta	4	2019-05-15	True News
tempocekfakta	kamibersamacekfakta	1	2019-05-21	False News
tempocekfakta	cekfaktapemilu2019	2	2019-04-21	True News
tempocekfakta	kpu	1	2019-05-22	True News
tempocekfakta	plenokpu	1	2019-05-22	True News
tempocekfakta	cekfaktapilpres2019	2	2019-04-27	True News
periksafakta	kamibersamacekfakta	4	2019-05-15	True News
periksafakta	kamibersamacekfakta	1	2019-05-21	False News
periksafakta	2019gantipresiden	1	2018-10-12	True News
periksafakta	kpu	1	2019-05-22	True News
periksafakta	plenokpu	1	2019-05-22	True News
kamibersamacekfakta	kpu	1	2019-05-22	True News
kamibersamacekfakta	plenokpu	1	2019-05-22	True News
01jokowinpasti	2019jokowipresidenri	1	2019-01-16	False News
jokowi1periodelagilagi	no1	1	2019-01-14	False News
jokowi1periodelagilagi	istanamerdeka	1	2019-01-14	False News
jokowi1periodelagilagi	marufamin1kalilagi	1	2019-01-14	False News
jokowi1periodelagilagi	2019tetapjokowi	1	2019-01-14	False News
jokowi1periodelagilagi	jokowiamin	1	2019-01-14	False News
jokowi1periodelagilagi	2019jokowilagi	1	2019-01-14	False News
jokowi1periodelagilagi	jokowi	1	2019-01-14	False News
jokowi1periodelagilagi	jokowidodomaruf2019	1	2019-01-14	False News
jokowi1periodelagilagi	jokowipresidenku	1	2019-01-14	False News
jokowi1periodelagilagi	presidenjokowi	1	2019-01-14	False News
jokowi1periodelagilagi	ahok	1	2019-01-14	False News
no1	istanamerdeka	1	2019-01-14	False News
no1	marufamin1kalilagi	1	2019-01-14	False News
no1	2019tetapjokowi	1	2019-01-14	False News
no1	jokowiamin	1	2019-01-14	False News
no1	2019jokowilagi	1	2019-01-14	False News
no1	jokowi	1	2019-01-14	False News
no1	jokowidodomaruf2019	1	2019-01-14	False News
no1	jokowipresidenku	1	2019-01-14	False News
no1	presidenjokowi	1	2019-01-14	False News
no1	ahok	1	2019-01-14	False News
istanamerdeka	marufamin1kalilagi	1	2019-01-14	False News
istanamerdeka	2019tetapjokowi	1	2019-01-14	False News
istanamerdeka	jokowiamin	1	2019-01-14	False News
istanamerdeka	2019jokowilagi	1	2019-01-14	False News
istanamerdeka	jokowi	1	2019-01-14	False News
istanamerdeka	jokowidodomaruf2019	1	2019-01-14	False News
istanamerdeka	jokowipresidenku	1	2019-01-14	False News
istanamerdeka	presidenjokowi	1	2019-01-14	False News
istanamerdeka	ahok	1	2019-01-14	False News
marufamin1kalilagi	2019tetapjokowi	1	2019-01-14	False News
marufamin1kalilagi	jokowiamin	1	2019-01-14	False News
marufamin1kalilagi	2019jokowilagi	1	2019-01-14	False News
marufamin1kalilagi	jokowi	1	2019-01-14	False News
marufamin1kalilagi	jokowidodomaruf2019	1	2019-01-14	False News
marufamin1kalilagi	jokowipresidenku	1	2019-01-14	False News
marufamin1kalilagi	presidenjokowi	1	2019-01-14	False News
marufamin1kalilagi	ahok	1	2019-01-14	False News
2019tetapjokowi	jokowiamin	1	2019-01-14	False News
2019tetapjokowi	2019jokowilagi	1	2019-01-14	False News
2019tetapjokowi	jokowi	1	2019-01-14	False News
2019tetapjokowi	jokowidodomaruf2019	1	2019-01-14	False News
2019tetapjokowi	jokowipresidenku	1	2019-01-14	False News
2019tetapjokowi	presidenjokowi	1	2019-01-14	False News
2019tetapjokowi	ahok	1	2019-01-14	False News
jokowiamin	2019jokowilagi	1	2019-01-14	False News
jokowiamin	jokowi	1	2019-01-14	False News
jokowiamin	jokowidodomaruf2019	1	2019-01-14	False News
jokowiamin	jokowipresidenku	1	2019-01-14	False News
jokowiamin	presidenjokowi	1	2019-01-14	False News
jokowiamin	ahok	1	2019-01-14	False News
jokowiamin	indonesiaoptimis	1	2019-04-04	Other 1
jokowiamin	bersatuindonesia	1	2019-04-04	Other 1
jokowiamin	indonesiamaju	1	2019-04-04	Other 1
jokowiamin	jokowisekalilagi	1	2019-04-04	Other 1
2019jokowilagi	jokowi	1	2019-01-14	False News
2019jokowilagi	jokowidodomaruf2019	1	2019-01-14	False News
2019jokowilagi	jokowipresidenku	1	2019-01-14	False News
2019jokowilagi	presidenjokowi	1	2019-01-14	False News
2019jokowilagi	ahok	1	2019-01-14	False News
jokowi	jokowidodomaruf2019	1	2019-01-14	False News
jokowi	jokowipresidenku	1	2019-01-14	False News
jokowi	presidenjokowi	1	2019-01-14	False News
jokowi	ahok	1	2019-01-14	False News
jokowi	informasi	1	2019-04-15	True News
jokowi	klarifikasi	1	2019-04-15	True News
jokowi	hoaks	1	2019-04-15	True News
jokowi	ingin	1	2019-04-15	True News
jokowi	bertemu	1	2019-04-15	True News
jokowi	habib	1	2019-04-15	True News
jokowi	rizieq	1	2019-04-15	True News
jokowi	mekkah	1	2019-04-15	True News
jokowi	istana	1	2018-12-28	False News
jokowi	jokowiamintegakkanham	1	2019-01-17	False News
jokowi	jokowiaminpeduliham	1	2019-01-17	False News
jokowi	prabowo	1	2018-12-31	Other 2
jokowi	2019prabowopresiden	1	2018-12-31	Other 2
jokowidodomaruf2019	jokowipresidenku	1	2019-01-14	False News
jokowidodomaruf2019	presidenjokowi	1	2019-01-14	False News
jokowidodomaruf2019	ahok	1	2019-01-14	False News
jokowipresidenku	presidenjokowi	1	2019-01-14	False News
jokowipresidenku	ahok	1	2019-01-14	False News
presidenjokowi	ahok	1	2019-01-14	False News
presidenjokowi	pemilu2019	1	2019-01-17	True News
presidenjokowi	debatpilpres2019	1	2019-01-17	True News
presidenjokowi	marufamin	1	2019-01-17	True News
presidenjokowi	prabowosubianto	1	2019-01-17	True News
presidenjokowi	sandiagauno	1	2019-01-17	True News
presidenjokowi	vivafakta	1	2019-01-17	True News
hoaxpemilu	faktapemilu	6	2019-05-03	True News
hoaxpemilu	kpumelayani	2	2019-05-03	True News
hoaxpemilu	radiopemilu2019	1	2019-05-03	True News
faktapemilu	kpumelayani	2	2019-05-03	True News
faktapemilu	radiopemilu2019	1	2019-05-03	True News
kepoinpemilu	pemilunesia	2	2019-03-30	True News
liveblog	debatpilpres2019	4	2019-03-30	True News
liveblog	debatpilpres2019	1	2019-03-17	Misleading News
liveblog	debatpilpres2019	1	2019-03-17	True News
liveblog	datapilpres2019	1	2019-04-13	True News
liveblog	lokadata	1	2019-03-17	True News
debatpilpres2019	rumahpemilu	7	2019-03-17	True News
debatpilpres2019	rumahpemilu	3	2019-02-17	False News
