Source	Target	Weight	Date	Class
aryprasetyo85	fagtng	2	2019-05-27	Other 2
aryprasetyo85	fagtng	2	2019-05-24	True News
aryprasetyo85	my_lovenebe	1	2019-05-27	Other 2
aryprasetyo85	my_lovenebe	1	2019-05-24	True News
aryprasetyo85	ernijasin	1	2019-05-27	Other 2
aryprasetyo85	alvinolulu	2	2019-05-27	Other 2
aryprasetyo85	alvinolulu	3	2018-10-02	True News
aryprasetyo85	enylove2	2	2018-10-02	True News
aryprasetyo85	enylove2	1	2019-01-23	Other 2
aryprasetyo85	dennydaniel77	1	2019-01-24	True News
aryprasetyo85	rizmawidiono	1	2019-01-24	True News
aryprasetyo85	mochamadarip	1	2019-01-24	True News
aryprasetyo85	airin_nz	1	2019-01-24	True News
aryprasetyo85	banser_cybernu	1	2019-01-23	Other 2
gunromli	prabowo	1	2019-02-18	Misleading News
gunromli	jokowi	1	2019-02-18	Misleading News
gunromli	ulinyusron	1	2019-02-18	Misleading News
gunromli	grace_nat	1	2018-11-19	Other 1
gunromli	psi_id	1	2018-11-19	Other 1
komikpinggiran	prabowo	1	2019-02-18	True News
komikpinggiran	prabowo	1	2019-01-25	False News
komikpinggiran	prabowo	1	2019-01-24	Other 2
komikpinggiran	jokowi	1	2019-02-18	True News
fajarnugros	muhammadiyah	1	2019-02-21	Other 2
berlandgroup	jokowi	1	2019-02-18	True News
berlandgroup	nahdlatululama	1	2019-02-18	True News
berlandgroup	nu_online	1	2019-02-18	True News
berlandgroup	banser_cybernu	1	2019-02-18	True News
berlandgroup	generasi_mudanu	1	2019-02-18	True News
berlandgroup	gpansor_satu	1	2019-02-18	True News
partaiperindo	hary_tanoe	1	2019-02-20	True News
bungdree	divhumas_polri	1	2019-02-16	True News
bungdree	yennywahid	1	2018-10-02	Other 2
divhumas_polri	puspen_tni	1	2019-01-04	True News
miauwww08	mahesatiwi	1	2019-01-16	False News
miauwww08	_andre_octa_	1	2019-01-16	False News
miauwww08	nurmatgr	1	2019-01-16	False News
miauwww08	fagtng	1	2019-01-16	False News
miauwww08	azterix88	1	2019-01-16	False News
miauwww08	maspiyuuu	1	2019-01-16	False News
miauwww08	thearieair	1	2019-01-16	False News
miauwww08	habibthink	1	2019-01-16	False News
nndid17042019	kpu_id	1	2019-05-02	False News
nndid17042019	bawaslu_ri	1	2019-05-02	False News
nndid17042019	prabowo	2	2019-04-24	False News
nndid17042019	metro_tv	1	2019-04-04	True News
bawaslu_ri	ronnie_rusli	1	2019-05-11	False News
bangyupi_006	kpu_ri	1	2019-05-02	False News
bangyupi_006	mohmahfudmd	1	2019-05-02	False News
bangyupi_006	metro_tv	1	2019-01-11	False News
bangyupi_006	kumparannews	1	2019-01-11	False News
mohmahfudmd	kpu_ri	1	2019-01-02	True News
radioelshinta	kpu_id	3	2019-05-03	True News
radioelshinta	divhumas_polri	2	2019-01-04	True News
radioelshinta	bawaslu_ri	1	2019-05-11	False News
alishaqy6	kpu_id	1	2019-05-02	False News
panglima_rantau	kpu_id	1	2019-05-03	False News
panglima_rantau	kpu_id	1	2019-05-08	True News
andi_zaki	fadlizon	1	2019-04-11	Other 2
andi_zaki	fahrihamzah	1	2019-04-11	Other 2
kompascom	sandiuno	1	2019-03-17	True News
kompascom	kompasdata	3	2019-03-17	True News
kompascom	prabowo	2	2019-04-13	True News
kompascom	jokowi	1	2019-02-17	False News
kompasdata	sandiuno	1	2019-03-17	True News
kompasdata	prabowo	2	2019-04-13	True News
kompastv	sandiuno	1	2019-03-17	True News
kompastv	kompasdata	3	2019-03-17	True News
kompastv	prabowo	2	2019-04-13	True News
kompastv	jokowi	1	2019-02-17	False News
zumpio	sandiuno	1	2019-03-17	True News
katadatacoid	sandiuno	2	2019-03-18	True News
katadatacoid	prabowo	2	2019-04-13	True News
katadatacoid	jokowi	1	2019-02-17	False News
katadatacoid	jokowi	1	2019-03-30	True News
megantara121	jokowi	1	2019-03-22	False News
dp3ap2kb_jateng	dp3akb_jtg	1	2019-03-21	Other 1
kaeivan	dahnilanzar	1	2018-09-25	False News
princeharry1st	dahnilanzar	1	2018-09-25	False News
rizki_yansyah	fadlizon	1	2018-09-26	False News
rizki_yansyah	prabowo	1	2018-09-26	False News
rizki_yansyah	sandiuno	1	2018-09-26	False News
rizki_yansyah	fahrihamzah	1	2018-09-26	False News
rizki_yansyah	saididu	1	2018-09-26	False News
rizki_yansyah	kpu_id	1	2018-09-26	False News
papadavid1982	wowoalqardusy	1	2018-10-04	Other 1
papadavid1982	siharmhsitorus	1	2018-10-04	Other 1
papadavid1982	gunromli	1	2018-10-04	Other 1
dionbangsat	akuntofa	1	2018-10-22	True News
dionbangsat	gemacan70	1	2018-10-22	True News
dionbangsat	mbahuyok	1	2018-10-22	True News
dionbangsat	netizenfpi	1	2018-10-22	True News
dionbangsat	informasi_fpi	1	2018-10-22	True News
dionbangsat	intel_fpi	1	2018-10-22	True News
dionbangsat	fadlizon	1	2019-01-21	Other 2
dipoalam49	ramlirizal	1	2018-10-11	True News
dipoalam49	asboediono	1	2018-10-11	True News
dipoalam49	andiarief__	1	2018-10-11	True News
dipoalam49	rachlannashidik	1	2018-10-11	True News
dipoalam49	chatibbasri	1	2018-10-11	True News
dipoalam49	gitaluna	1	2018-10-11	True News
dipoalam49	fahrihamzah	1	2018-10-11	True News
dipoalam49	zarazettirazr	1	2018-10-11	True News
dipoalam49	ustadtengkuzul	1	2018-10-11	True News
dipoalam49	evalockheart	1	2018-10-11	True News
dipoalam49	saididu	1	2018-10-11	True News
dipoalam49	pak_jk	1	2018-10-11	True News
