index	topic	tweets	date	username	likes	retweets	replies	hashtags	class
0	60 Korban Kerusuhan Meninggak	Kapolda Metro Jaya Jenguk Korban Kerusuhan 22 Mei Hingga kini RS Polri tercatat merawat 60 orang pasien korban kerusuhan 22 Mei yang terdiri dari personel polisi dan warga sipil. Dari seluruh pasien sebagian besar telah membaik. @FaGtng @My_LoveNebe @Ernijasin @AlvinoLulu	2019-05-27 14:31:55+00:00	Aryprasetyo85	15	6	0		Other 2
1	60 Korban Kerusuhan Meninggak	[Fakta atau Hoaks] Benarkah Ada 60 Korban Meninggal dalam Kerusuhan 21-22 Mei 2019? Cek Faktanya disini: 	2019-05-27 06:11:28+00:00	temponewsroom	0	0	2		False News
2	Abu Bakar Ba'asyir Golput Pemilu	"Abu Bakar Ba'asyir Golput di Pemilu 2019. Alasannya, Ba'asyir Hidup Di Padang Pasir Bkn DI NKRI ! https://nasional.tempo.co/read/1196276/abu-bakar-baasyir-golput-di-pemilu-2019?utm_source=Digital%20Marketing&amp;utm_medium=Web%20Notif&amp;utm_campaign=Nasional_Rhm&amp;utm_content=&amp;utm_term="	2019-04-16 13:39:53+00:00	Great_Pujangga	4	3	4		Misleading News
3	Abu Bakar Ba'asyir Golput Pemilu	Abu Bakar Ba'asyir Pilih Golput di Pemilu 2019 https://www.inews.id/daerah/jabar/abu-bakar-baasyir-pilih-golput-di-pemilu-2019/517389	2019-04-16 02:15:01+00:00	OfficialiNewsTV	4	0	0		True News
4	Abu Bakar Ba'asyir Golput Pemilu	Abu Bakar Ba'asyir Golput di Pemilu 2019, Ponpes Al Mukmin Sukoharjo Lakukan Ini http://m.tribunnews.com/amp/pilpres-2019/2019/04/17/abu-bakar-baasyir-golput-di-pemilu2019-ponpes-al-mukmin-sukoharjo-lakukan-ini	2019-04-17 13:39:16+00:00	tribunnews	3	0	0		True News
5	Abu Bakar Ba'asyir Golput Pemilu	Ustadz Abu Bakar Ba’asyir Memutuskan Golput Saat Pemilu 2019 https://mata-media.net/blog/berita/nusantara/2019/04/16/ustadz-abu-bakar-baasyir-memutuskan-golput-saat-pemilu-2019/	2019-04-16 10:37:24+00:00	MataMediaMMC	2	0	0		True News
6	Acara PA 212 Dibatalkan TNI	"PA 212 Batalkan Acara Sujud Syukur Kemenangan di Istiqlal dan Monas http://poskotanews.com/2019/04/18/pa-212-batalkan-acara-sujud-syukur-kemenangan-di-istiqlal-dan-monas/ -- GIMANA NGGAK BATAL .... EMANG SITU MAU JADI ""KERUPUK"" !!?? (Video : Apel Siaga TNI - POLRI di Monas, NKRI HARGA MATI !!) "	2019-04-19 09:47:24+00:00	Parapat_Nixon	455	185	65		Misleading News
7	Acara PA 212 Dibatalkan TNI	"[SALAH] Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas ""... video lama. Video itu direkam saat apel pengamanan Natal dan Tahun Baru 2018. Ia memastikan tidak ..."" http://bit.ly/2VdiKkb #LawanHoax"	2019-04-20 08:34:11+00:00	TurnBackHoax	48	61	2	#LawanHoax	True News
8	Ahok Mencoblos Di Osaka	Manusia inilah Sumber kegaduhan di negri ini. . Manusia yang tak beradap dan biang masalah. . . Di Osaka jam 2 tiba2 ahok membawa 100 org china utk ikut nyoblos. . . Eitss...ada makhluk betina yg sempet viral dgn mulutnya yg jamban jg..bareng ahok.... . . #2019GantiPresiden	2019-04-15 00:11:55+00:00	chandradwiguna	8	3	3	#2019GantiPresiden	Misleading News
9	Ahok Mencoblos Di Osaka	"Simak Wawancara Saya di South China Morning Post, Hongkong (16 April 2019) Jokowi, Prabowo woo Muslim voters; ex-Jakarta governor Ahok fights for his right to vote in Osaka "	2019-04-16 00:34:00+00:00	warjati	2	1	0		True News
10	Aksi 911 Bela Tauhid	Saya rasa itu soal keimigrasian, kebetulan ada bendera disitu HRS ditanya. Biasa saja, toh bendera itu bendera perjuangan, Habib dikunjungi soal status cekalnya. Yang menurut Dubes Arab Saudi di Indonesia yang disiarkan langsung sebagai bentuk perlindungan kepada HRS.	2018-11-07 05:28:15+00:00	Badesadaya	5	0	3		Other 1
11	Aksi Baduy Ke Jakarta	"""Itu berita hoaks, tidak benar ada warga Baduy berangkat ke Jakarta,"" kata Kabag Ops Polres Lebak. Mengapa semakin banyak hoaks yang disebarkan sejalan dengan aksi masa pada 22 Mei? Bagaimana menurut Anda? "	2019-05-22 03:14:36+00:00	kompascom	81	84	22		True News
12	Aksi Baduy Ke Jakarta	Warga Baduy Cari Penyebar Hoaks Ikut Aksi People Power ke Jakarta http://dlvr.it/R5638f	2019-05-21 06:27:04+00:00	merdekadotcom	2	0	1		Other 1
13	Al Jazeera Kasus Rizieq	Dikabarkan al Jazeera, polisi KSA sudah mengantongi identitas pelaku, setelah melihat CCTV cadangan. Doakan semoga para pelaku tertangkap. https://twitter.com/AkunTofa/status/1061035835615698944/photo/1	2018-11-10 02:53:50+00:00	meong699	8	4	1		False News
14	Alat Bantu Dengar Jokowi	"Keok dalam debat, kubu @prabowo sebar fitnah soal alat bantu dengar &amp; pulpen dipake @jokowi ini Bantahan Jokowi | video @ulinyusron"	2019-02-18 04:38:35+00:00	GunRomli	1264	543	190		Misleading News
15	Alat Bantu Dengar Jokowi	"Dan berhentilah untuk sibuk bikin insinuasi bahwa Jokowi pakai alat bantu dengar. Anda justru terlihat sebagai loser dengan tuduhan"" model seperti itu. Toh, debat kemarin itu tidak merugikan kubu penantang juga. Pesan ke publiknya masih sampai. Membangun untuk rakyat kecil."	2019-02-18 01:15:18+00:00	awemany	98	61	10		True News
16	Alat Bantu Dengar Jokowi	"Ini #SandiwaraUno sok bijak, apa gak ingat kubu dia bikin hoax &amp; fitnah Jokowi pakai earpiece dan alat bantu dengar melalui pulpen jg #SavePulpen Sandi Tak Sangka Prabowo Puji Jokowi 6 Kali "	2019-02-18 11:46:20+00:00	GunRomli	65	31	23	#SandiwaraUno #SavePulpen	Misleading News
17	Alat Bantu Dengar Jokowi	kubu @prabowo sekarang nyebar fitnah kalau @jokowi pakai alat bantu dengar 😂😂 ga sekalian nuduh kalau yg hadir itu orang lain pake latex mirip jokowi kayak mission impossible gitu? 😂😂 	2019-02-18 04:29:20+00:00	komikpinggiran	26	13	6		True News
18	Alat Bantu Dengar Jokowi	"Rame nih..harusnya judulnya gini "" Benarkah Jokowi pakai alat bantu dengar ?"" #CapresO1Bohong"	2019-02-18 11:12:59+00:00	brigadeNkri	8	3	0	#CapresO1Bohong	Other 2
19	Alat Bantu Dengar Jokowi	Astaga, itu org percaya kalo Jokowi pake alat bantu dengar? Wahai @muhammadiyah anda ngga malu punya kader begini???	2019-02-21 03:23:00+00:00	fajarnugros	3	1	2		Other 2
20	Alat Bantu Dengar Jokowi	Makanya lain kali, waktu debat Prabowo suruh pake alat bantu dengar. Yg bodoh dirinya sendiri, yg dituduh tetep jokowi. Kebiasaan yg tdk pnh berubah 🤔😆	2019-02-21 00:15:01+00:00	woelannnn	5	0	1		Other 1
21	Alat Bantu Dengar Jokowi	Kecuali orang yang buta mata buta hati yang tidak bisa melihat JKW lagi pakai alat bantu dengar.... baik sih pakai alat itu, asal untuk bantu pendengaran yang terganggu. bukan untuk mendenga jawaban yang dibisiki lewat alat itu...	2019-02-18 05:17:28+00:00	ferry_latu	4	0	1		False News
22	Alat Bantu Dengar Jokowi	Siap blokir dan udah diliput wartawan maka buka blokiran dan bekerja seperti biasa . Aspirasi masyarakat udah di dengar . Kalau pemdanya masih tak perduli lapor kpk cek anggaran PU untuk akses jalan ke desa . Camat jgn duduk aja dikantor suruh bantu.	2019-02-18 18:07:05+00:00	bondan_kenturi	3	0	0		Other 1
23	Alat Bantu Dengar Jokowi	Setelah debat, banyak fitnah terdengar kalo Pakde @jokowi pakai alat bantu dengar. Mimin sih ngakak aja, kubu sana gak punya bahan buat membela diri ya? Sampe segininya loh fitnahnya! 😂😂 #SavePulpen @nahdlatululama @nu_online @Banser_CyberNU @Generasi_MudaNU @GPAnsor_Satu	2019-02-18 06:57:10+00:00	BerlandGroup	3	0	0	#SavePulpen	True News
24	Alat Bantu Dengar Jokowi	Kok ya alat bantu dengar Seharus nya cari alasan yang logis lah	2019-02-18 05:05:58+00:00	AgusPr11	3	0	0		Other 1
25	Alat Bantu Dengar Jokowi	Capres nomor urut 01 Jokowi dituduh memakai alat bantu dengar (earpiece) ketika berhadapan dengan Prabowo Subianto di panggung debat kedua Pilpres 2019, Sekjen Perindo Ahmad Rofiq angkat bicara. http://partaiperindo.com/?p=81261 | Ketum Perindo @Hary_Tanoe #PerindoUpdate	2019-02-20 16:30:00+00:00	PartaiPerindo	1	0	10	#PerindoUpdate	True News
26	Ali Ngabalin Sakit Stroke	Ngabalin: Ini orang yang sakit hati, orang gila urusan, mungkin Stres sebentar lg Stroke mati ditempat #JanjiBusuk2014	2019-02-11 12:00:24+00:00	tijabar	400	144	58	#JanjiBusuk2014	Other 2
